020991A	 SSB -9.9145 159.13 9.9 45.279 4.542 0.7
022191A	 DRV 58.4298 -175.449 20.2 -66.6649 140.002 0.04
022191A	 TNV 58.4298 -175.449 20.2 -74.7 164.12 0.04
030391A	 GRA1 -21.8621 -175.053 16.1 49.6919 11.2217 0.4995
030391A	 HRV -21.8621 -175.053 16.1 42.5064 -71.5583 0.2
030891A	 DRV 60.8555 167.016 13 -66.6649 140.002 0.04
030891A	 TNV 60.8555 167.016 13 -74.7 164.12 0.04
032691A	 UNM 21.7117 121.775 17.7 19.3297 -99.1781 2.28
040591A	 WUS -5.9699 -77.1001 17.2 41.199 79.218 1.457
042491A	 KEG 9.7597 -83.5191 12.7 29.9275 31.8292 0.46
042491A	 MAJO 9.7597 -83.5191 12.7 36.5457 138.204 0.405
051391A	 ALE -3.4564 82.8028 10 82.5033 -62.35 0.06
051391A	 CCM -3.4564 82.8028 10 38.0557 -91.2446 0.1715
061091A	 DRV 23.7655 -45.3776 9.7 -66.6649 140.002 0.04
061091A	 ERM 23.7655 -45.3776 9.7 42.015 143.157 0.04
061091A	 INU 23.7655 -45.3776 9.7 35.35 137.029 0.132
061091A	 MAJO 23.7655 -45.3776 9.7 36.5457 138.204 0.405
061091A	 TSK 23.7655 -45.3776 9.7 36.2108 140.11 0.35
061591A	 AQU -58.2893 -24.2481 16.9 42.354 13.405 0.71
061591A	 BGY -58.2893 -24.2481 16.9 44.8026 20.5158 0.25
061591A	 OBN -58.2893 -24.2481 16.9 55.1146 36.5674 0.16
070291A	 CCM -1.0977 99.8282 28.7 38.0557 -91.2446 0.1715
070491A	 ALE -8.0925 124.68 28.8 82.5033 -62.35 0.06
070491A	 ANMO -8.0925 124.68 28.8 34.9459 -106.457 1.75
070491A	 COR -8.0925 124.68 28.8 44.5855 -123.305 0.11
070491A	 HRV -8.0925 124.68 28.8 42.5064 -71.5583 0.2
070491A	 ISA -8.0925 124.68 28.8 35.663 -118.473 0.835
070491A	 PAS -8.0925 124.68 28.8 34.1484 -118.171 0.314
070491A	 SBC -8.0925 124.68 28.8 34.4417 -119.713 0.09
070491A	 TAM -8.0925 124.68 28.8 22.7915 5.52838 1.41
071391A	 CAN 42.1904 -125.645 11 -35.3187 148.996 0.7
071391A	 DRV 42.1904 -125.645 11 -66.6649 140.002 0.04
080891A	 AQU 1.0388 122.668 12.4 42.354 13.405 0.71
080891A	 BNI 1.0388 122.668 12.4 45.052 6.678 1.395
080891A	 GSC 1.0388 122.668 12.4 35.3028 -116.808 0.99
080891A	 HRV 1.0388 122.668 12.4 42.5064 -71.5583 0.2
080891A	 PAS 1.0388 122.668 12.4 34.1484 -118.171 0.314
080891A	 SSB 1.0388 122.668 12.4 45.279 4.542 0.7
080891A	 UNM 1.0388 122.668 12.4 19.3297 -99.1781 2.28
081491A	 ALE -13.581 167.606 11.7 82.5033 -62.35 0.06
081491A	 ECH -13.581 167.606 11.7 48.2163 7.15896 0.58
081491A	 KONO -13.581 167.606 11.7 59.6491 9.5982 0.216
081491A	 SSB -13.581 167.606 11.7 45.279 4.542 0.7
081491A	 TOL -13.581 167.606 11.7 39.8814 -4.0485 0.48
081691A	 CAN 41.7202 -125.423 7 -35.3187 148.996 0.7
081691A	 DRV 41.7202 -125.423 7 -66.6649 140.002 0.04
081691A	 RER 41.7202 -125.423 7 -21.1712 55.7399 0.834
081791A	 CAN 41.8481 -125.413 13.5 -35.3187 148.996 0.7
081791A	 CTAO 41.8481 -125.413 13.5 -20.0882 146.255 0.357
081791A	 DRV 41.8481 -125.413 13.5 -66.6649 140.002 0.04
091891A	 AAK 14.6001 -91.007 11.2 42.6333 74.4944 1.68
091891A	 DRV 14.6001 -91.007 11.2 -66.6649 140.002 0.04
091891A	 TLY 14.6001 -91.007 11.2 51.6807 103.644 0.579
092191A	 AQU -16.2123 -173.004 17 42.354 13.405 0.71
092191A	 HRV -16.2123 -173.004 17 42.5064 -71.5583 0.2
092191A	 OBN -16.2123 -173.004 17 55.1146 36.5674 0.16
092191A	 SUR -16.2123 -173.004 17 -32.3797 20.8117 1.77
110191A	 ALE -30.2528 -177.987 21.4 82.5033 -62.35 0.06
110191A	 HRV -30.2528 -177.987 21.4 42.5064 -71.5583 0.2
121191A	 ARU -17.7812 -115.986 10 56.4302 58.5625 0.25
121191A	 KIV -17.7812 -115.986 10 43.9562 42.6888 1.21
121191A	 KONO -17.7812 -115.986 10 59.6491 9.5982 0.216
121191A	 OBN -17.7812 -115.986 10 55.1146 36.5674 0.16
121191A	 SSB -17.7812 -115.986 10 45.279 4.542 0.7
122891A	 ALE -56.1001 -24.7227 10 82.5033 -62.35 0.06
122891A	 AMDO -56.1001 -24.7227 10 32.247 91.688 4.712
122891A	 ANMO -56.1001 -24.7227 10 34.9459 -106.457 1.75
122891A	 BUDO -56.1001 -24.7227 10 35.529 93.91 4.66
122891A	 CTAO -56.1001 -24.7227 10 -20.0882 146.255 0.357
122891A	 ECH -56.1001 -24.7227 10 48.2163 7.15896 0.58
122891A	 KONO -56.1001 -24.7227 10 59.6491 9.5982 0.216
122891A	 MAQI -56.1001 -24.7227 10 34.478 100.249 3.823
122891A	 OBN -56.1001 -24.7227 10 55.1146 36.5674 0.16
122891A	 PFO -56.1001 -24.7227 10 33.6092 -116.455 1.28
021392A	 ECH -15.9025 166.257 9.6 48.2163 7.15896 0.58
021392A	 HRV -15.9025 166.257 9.6 42.5064 -71.5583 0.2
021392A	 SSB -15.9025 166.257 9.6 45.279 4.542 0.7
021392A	 TOL -15.9025 166.257 9.6 39.8814 -4.0485 0.48
022692A	 COL 11.7405 57.7599 10 64.9 -147.793 0.32
031392A	 CAN 39.7159 39.6292 22.6 -35.3187 148.996 0.7
031392A	 DRV 39.7159 39.6292 22.6 -66.6649 140.002 0.04
031392A	 KIP 39.7159 39.6292 22.6 21.42 -158.011 0.077
040692A	 CAN 50.6453 -130.059 10 -35.3187 148.996 0.7
040692A	 DRV 50.6453 -130.059 10 -66.6649 140.002 0.04
040692A	 SUR 50.6453 -130.059 10 -32.3797 20.8117 1.77
041892A	 CCM -5.4575 102.94 25.8 38.0557 -91.2446 0.1715
041892A	 HRV -5.4575 102.94 25.8 42.5064 -71.5583 0.2
041892A	 TOL -5.4575 102.94 25.8 39.8814 -4.0485 0.48
042392A	 CTAO 33.9082 -116.484 12.4 -20.0882 146.255 0.357
042392A	 NWAO 33.9082 -116.484 12.4 -32.9277 117.239 0.28
042492A	 COR 27.5186 66.0949 25 44.5855 -123.305 0.11
042492A	 ISA 27.5186 66.0949 25 35.663 -118.473 0.835
042492A	 PAS 27.5186 66.0949 25 34.1484 -118.171 0.314
042492A	 PFO 27.5186 66.0949 25 33.6092 -116.455 1.28
042492A	 SBC 27.5186 66.0949 25 34.4417 -119.713 0.09
042492A	 SCZ 27.5186 66.0949 25 36.598 -121.403 0.261
042692A	 RER 40.4722 -124.356 22.2 -21.1712 55.7399 0.834
042692A	 TAM 40.4722 -124.356 22.2 22.7915 5.52838 1.41
051892A	 CTAO 7.3995 -82.3341 17.8 -20.0882 146.255 0.357
051892A	 NWAO 7.3995 -82.3341 17.8 -32.9277 117.239 0.28
051892A	 WUS 7.3995 -82.3341 17.8 41.199 79.218 1.457
052592A	 AMDO 19.6046 -77.8658 23.1 32.247 91.688 4.712
052592A	 CAN 19.6046 -77.8658 23.1 -35.3187 148.996 0.7
052592A	 CTAO 19.6046 -77.8658 23.1 -20.0882 146.255 0.357
052592A	 ERM 19.6046 -77.8658 23.1 42.015 143.157 0.04
052592A	 GUMO 19.6046 -77.8658 23.1 13.5893 144.868 0.17
052592A	 HYB 19.6046 -77.8658 23.1 17.417 78.553 0.51
052592A	 INU 19.6046 -77.8658 23.1 35.35 137.029 0.132
052592A	 MAQI 19.6046 -77.8658 23.1 34.478 100.249 3.823
052592A	 SPA 19.6046 -77.8658 23.1 -89.9954 115 2.927
052592A	 TSK 19.6046 -77.8658 23.1 36.2108 140.11 0.35
052592A	 TUNL 19.6046 -77.8658 23.1 36.199 94.815 3.133
052592A	 USHU 19.6046 -77.8658 23.1 33.011 97.015 3.727
052792A	 KEG -11.1131 165.219 23.1 29.9275 31.8292 0.46
052792A	 KIV -11.1131 165.219 23.1 43.9562 42.6888 1.21
052792A	 OBN -11.1131 165.219 23.1 55.1146 36.5674 0.16
052792A	 SSB2 -11.1131 165.219 23.1 45.279 4.542 0.7
052792A	 TAM -11.1131 165.219 23.1 22.7915 5.52838 1.41
061592A	 ANMO 24.0044 95.9676 17.3 34.9459 -106.457 1.75
061592A	 CCM 24.0044 95.9676 17.3 38.0557 -91.2446 0.1715
061592A	 HRV 24.0044 95.9676 17.3 42.5064 -71.5583 0.2
061592A	 UNM 24.0044 95.9676 17.3 19.3297 -99.1781 2.28
061792A	 AAK -60.3769 -56.9868 10 42.6333 74.4944 1.68
061792A	 ANMO -60.3769 -56.9868 10 34.9459 -106.457 1.75
061792A	 AQU -60.3769 -56.9868 10 42.354 13.405 0.71
061792A	 COL -60.3769 -56.9868 10 64.9 -147.793 0.32
061792A	 COR -60.3769 -56.9868 10 44.5855 -123.305 0.11
061792A	 ECH -60.3769 -56.9868 10 48.2163 7.15896 0.58
061792A	 HLD -60.3769 -56.9868 10 39.2287 -109.14 1.452
061792A	 ISA -60.3769 -56.9868 10 35.663 -118.473 0.835
061792A	 KONO -60.3769 -56.9868 10 59.6491 9.5982 0.216
061792A	 MON -60.3769 -56.9868 10 38.5308 -107.997 2.097
061792A	 PAR -60.3769 -56.9868 10 38.3502 -108.983 1.81
061792A	 PAS -60.3769 -56.9868 10 34.1484 -118.171 0.314
061792A	 PFO -60.3769 -56.9868 10 33.6092 -116.455 1.28
061792A	 SBC -60.3769 -56.9868 10 34.4417 -119.713 0.09
061792A	 SCZ -60.3769 -56.9868 10 36.598 -121.403 0.261
061792A	 TSK -60.3769 -56.9868 10 36.2108 140.11 0.35
061792A	 VSL -60.3769 -56.9868 10 39.496 9.378 0.37
061792A	 YSS -60.3769 -56.9868 10 46.9587 142.76 0.148
071092A	 DRV 44.6181 149.482 19.9 -66.6649 140.002 0.04
072092A	 CTAO 78.6289 5.4946 10 -20.0882 146.255 0.357
072092A	 RAR 78.6289 5.4946 10 -21.2125 -159.773 -0.072
072092A	 SNZO 78.6289 5.4946 10 -41.3087 174.704 0.02
080292A	 ANMO -0.8529 127.64 29.6 34.9459 -106.457 1.75
080292A	 GSC -0.8529 127.64 29.6 35.3028 -116.808 0.99
080292A	 KONO -0.8529 127.64 29.6 59.6491 9.5982 0.216
080292A	 PAS -0.8529 127.64 29.6 34.1484 -118.171 0.314
080292A	 PFO -0.8529 127.64 29.6 33.6092 -116.455 1.28
080292A	 SSB2 -0.8529 127.64 29.6 45.279 4.542 0.7
080292A	 SSB -0.8529 127.64 29.6 45.279 4.542 0.7
080792A	 CAN 57.5938 -142.936 13.6 -35.3187 148.996 0.7
080792A	 NWAO 57.5938 -142.936 13.6 -32.9277 117.239 0.28
080792A	 SPA 57.5938 -142.936 13.6 -89.9954 115 2.927
082892A	 CAN -0.9879 -13.6006 15.5 -35.3187 148.996 0.7
082892A	 COL -0.9879 -13.6006 15.5 64.9 -147.793 0.32
082892A	 COR -0.9879 -13.6006 15.5 44.5855 -123.305 0.11
082892A	 CTAO -0.9879 -13.6006 15.5 -20.0882 146.255 0.357
082892A	 RAR -0.9879 -13.6006 15.5 -21.2125 -159.773 -0.072
082892A	 SEY -0.9879 -13.6006 15.5 62.933 152.373 0.206
082892A	 SNZO -0.9879 -13.6006 15.5 -41.3087 174.704 0.02
082892A	 YSS -0.9879 -13.6006 15.5 46.9587 142.76 0.148
092692A	 ANMO 1.2991 129.134 27.7 34.9459 -106.457 1.75
092692A	 BTO 1.2991 129.134 27.7 40.3931 -105.2 1.609
092692A	 CCM 1.2991 129.134 27.7 38.0557 -91.2446 0.1715
092692A	 CCY 1.2991 129.134 27.7 38.552 -105.269 1.893
092692A	 MON 1.2991 129.134 27.7 38.5308 -107.997 2.097
092692A	 SFK 1.2991 129.134 27.7 37.688 -106.622 2.591
092692A	 SSB2 1.2991 129.134 27.7 45.279 4.542 0.7
101792A	 ARU 6.8794 -76.7619 14.3 56.4302 58.5625 0.25
101792A	 CTAO 6.8794 -76.7619 14.3 -20.0882 146.255 0.357
101792A	 DRV 6.8794 -76.7619 14.3 -66.6649 140.002 0.04
101792A	 GUMO 6.8794 -76.7619 14.3 13.5893 144.868 0.17
101792A	 NVS 6.8794 -76.7619 14.3 54.8404 83.2346 0.15
101792A	 TATO 6.8794 -76.7619 14.3 24.9735 121.497 0.07
101792A	 TLY 6.8794 -76.7619 14.3 51.6807 103.644 0.579
101792A	 ECH -19.2312 169.552 26 48.2163 7.15896 0.58
101792A	 SPR -19.2312 169.552 26 37.459 -102.64 1.327
101792A	 TAM -19.2312 169.552 26 22.7915 5.52838 1.41
102292A	 ALE -30.0684 -177.031 15.7 82.5033 -62.35 0.06
102292A	 GRA1 -30.0684 -177.031 15.7 49.6919 11.2217 0.4995
102292A	 KONO -30.0684 -177.031 15.7 59.6491 9.5982 0.216
